county,period,MOH 731_HIV_TB_OnART_15-19_(F)_HV03-24,MOH 731_HIV_TB_OnART_15-19_(M)_HV03-23,MOH 731_HIV_TB_OnART_20-24_(F)_HV03-26,MOH 731_HIV_TB_OnART_20-24_(M)_HV03-25,MOH 731_HIV_TB_OnART_25+_(F)_HV03-28,MOH 731_HIV_TB_OnART_25+_(M)_HV03-27,adults_on_art,art_total_males,art_total_females,MOH 731_HTS_Tests _(F) (Including PMTCT)_ HV01-02,MOH 731_HTS_Tests _(M)_ HV01-01,hts_tested,hts_tested_males,hts_tested_females,MOH 731_HTS_Positive_2-9 _(M)_ HV01-06,MOH 731_HTS_Positive_2-9 _(F) (Including PMTCT)_ HV01-07,MOH 731_HTS_Positive_10-14 _(F) (Including PMTCT)_HV01-09,MOH 731_HTS_Positive_10-14 _(M)_HV01-08,MOH 731_HTS_Positive_15-19 _(F) (Including PMTCT)_HV01-11,MOH 731_HTS_Positive_15-19 _(M)_HV01-10,MOH 731_HTS_Positive_20-24 _(M)_HV01-12,MOH 731_HTS_Positive_20-24 _(F) (Including PMTCT)_HV01-13,MOH 731_HTS_Positive_25+ _(M)_HV01-14,MOH 731_HTS_Positive_25+ _(F) (Including PMTCT)_HV01-15,hts_positive,hts_positive_males,hts_positive_females,vlt_valid_under15,vls_suppressed_under15,vlt_valid_male_15plus,vls_suppressed_male_15plus,vlt_valid_female_15plus,vls_suppressed_female_15plus,vls_rate_male15plus,vls_rate_female15plus,vls_rate_under15,vls_rate_adult,Actively on Treatment by the Beginning of 2025 Children,iit_children,Actively on Treatment by the Beginning of 2025 female adult,iit_female,Actively on Treatment by the Beginning of 2025 Male,iit_male,adults_on_treatment,iit_count,iit_rate_pct,iit_rate_children_pct,iit_rate_male_pct,iit_rate_female_pct,hts_positivity_rate,iit_rate_yoy_change,vls_rate_adult_yoy_change,iit_rate,care_gap_index,art_coverage,vls_rate,cluster,tier
Lamu,2025,44,33,48,22,1222,575,1944,630,1314,10524,5377,15901,5377,10524,3.0,5.0,1.0,3.0,1.0,1.0,5,17,61,67,164,73,91,53,42,170,137.0,404,330,0.8059,0.8168,0.7925,0.8136,26.83333333333333,4.333333333333333,432.0,40.66666666666666,199.8333333333333,17.833333333333332,631.8333333333334,58.5,0.0926,0.161,0.089,0.094,0.0103138167410854,0,0,0.0926,11.366276334821707,0.5,0.8136,3,Low
Machakos,2025,504,463,861,525,20353,8645,31351,9633,21718,141109,45991,187100,45991,141109,49.0,60.0,7.0,83.0,74.0,21.0,82,231,662,1140,2409,897,1512,204,176,3700,3538.0,9041,8697,0.9562,0.962,0.8627,0.9603,30.125,2.125,417.0,38.75,218.125,17.625,635.125,56.375,0.0888,0.071,0.081,0.093,0.0128754676643506,0,0,0.0888,5.397509353287012,0.5,0.9603,1,High
Makueni,2025,493,517,803,428,16213,6573,25027,7518,17509,105051,36745,141796,36745,105051,16.0,14.0,7.0,5.0,35.0,6.0,29,153,428,641,1334,484,850,286,258,4125,3942.0,10585,10186,0.9556,0.9623,0.9021,0.9604,30.125,2.125,417.0,38.75,218.125,17.625,635.125,56.375,0.0888,0.071,0.081,0.093,0.0094078817456063,0,0,0.0888,5.324157634912126,0.5,0.9604,1,High
Mandera,2025,12,5,9,10,440,354,830,369,461,31236,8144,39380,8144,31236,17.0,1.0,1.0,8.0,43.0,1.0,1,2,13,12,31,15,16,0,0,0,2773.0,1,1,1.0,1.0,0.8519,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1120522727272727,0.1067272727272727,0.1109545454545454,0.1124772727272727,0.0007872016251904,0,0,0.1120522727272727,4.497834941594717,0.5,1.0,1,High
Marsabit,2025,21,21,33,14,954,376,1419,411,1008,15412,3075,18487,3075,15412,5.0,6.0,2.0,4.0,2.0,1.0,2,8,52,50,132,64,68,6,5,39,34.0,106,98,0.8718,0.9245,0.8333,0.9103,30.125,2.125,417.0,38.75,218.125,17.625,635.125,56.375,0.0888,0.071,0.081,0.093,0.0071401525396224,0,0,0.0888,7.28280305079245,0.5,0.9103,2,Moderate
Meru,2025,445,334,702,397,14735,6783,23396,7514,15882,109842,39581,149423,39581,109842,27.0,22.0,11.0,8.0,43.0,11.0,41,157,580,906,1806,667,1139,293,247,3955,3722.0,8821,8385,0.9411,0.9506,0.843,0.9476,30.125,2.125,417.0,38.75,218.125,17.625,635.125,56.375,0.0888,0.071,0.081,0.093,0.0120864927086191,0,0,0.0888,5.889729854172384,0.5,0.9476,1,High
Migori,2025,1595,1299,2292,790,47848,22295,76119,24384,51735,204746,79494,284240,79494,204746,44.0,68.0,41.0,29.0,140.0,23.0,84,509,964,1688,3590,1144,2446,867,772,12212,11531.0,26780,25709,0.9442,0.96,0.8904,0.9551,101.16666666666669,8.666666666666666,1507.5,135.33333333333334,735.8333333333334,69.5,2243.333333333333,204.8333333333333,0.0913,0.086,0.094,0.09,0.0126301716858992,0,0,0.0913,5.700603433717988,0.5,0.9551,1,High
Mombasa,2025,541,482,1152,599,32111,15386,50271,16467,33804,99332,58591,157923,58591,99332,24.0,26.0,4.0,18.0,33.0,12.0,50,187,633,946,1933,737,1196,482,410,8274,7718.0,18026,17079,0.9328,0.9475,0.8506,0.9429,26.83333333333333,4.333333333333333,432.0,40.66666666666666,199.8333333333333,17.833333333333332,631.8333333333334,58.5,0.0926,0.161,0.089,0.094,0.012240142347853,0,0,0.0926,6.232802846957063,0.5,0.9429,1,High
Murang'a,2025,238,221,469,274,11438,5224,17864,5719,12145,89485,26497,115982,26497,89485,8.0,11.0,6.0,5.0,23.0,5.0,21,88,305,453,925,344,581,156,144,3044,2937.0,6830,6609,0.9648,0.9676,0.9231,0.9668,28.4,2.4,538.0,51.8,284.4,31.0,822.4,82.8,0.1007,0.085,0.109,0.096,0.0079753754893,0,0,0.1007,5.515507509786002,0.5,0.9668,1,High
Nairobi,2025,1787,1585,4321,2601,109238,53658,173190,57844,115346,583441,210350,793791,210350,583441,87.0,94.0,29.0,39.0,206.0,71.0,384,1185,3323,5768,11186,3904,7282,1586,1410,33034,31724.0,69143,66730,0.9603,0.9651,0.889,0.9636,169.0,18.0,4898.0,564.0,2494.0,271.0,7392.0,835.0,0.113,0.107,0.109,0.115,0.0140918705301521,0,0,0.113,6.2578374106030425,0.5,0.9636,1,High
